comname,variable,revised,original,significant,significant_change,direction
acadian redfish,sst,0.001,0.001,TRUE,FALSE,NA
acadian redfish,bt,0,0,TRUE,FALSE,NA
acadian redfish,lat,0.618,0.443,FALSE,FALSE,NA
acadian redfish,lon,0.609,0.629,FALSE,FALSE,NA
acadian redfish,depth,0.292,0.328,FALSE,FALSE,NA
alewife,sst,0.014,0.006,TRUE,FALSE,NA
alewife,bt,0.372,0.641,FALSE,FALSE,NA
alewife,lat,0,0,TRUE,FALSE,NA
alewife,lon,0.003,0.002,TRUE,FALSE,NA
alewife,depth,0,0,TRUE,FALSE,NA
american lobster,sst,0.793,0.628,FALSE,FALSE,NA
american lobster,bt,0.037,0.033,TRUE,FALSE,NA
american lobster,lat,0,0,TRUE,FALSE,NA
american lobster,lon,0,0,TRUE,FALSE,NA
american lobster,depth,0.125,0.072,FALSE,FALSE,NA
american plaice,sst,0.001,0,TRUE,FALSE,NA
american plaice,bt,0.005,0.004,TRUE,FALSE,NA
american plaice,lat,0.006,0.002,TRUE,FALSE,NA
american plaice,lon,0.007,0.004,TRUE,FALSE,NA
american plaice,depth,0.003,0.001,TRUE,FALSE,NA
american shad,sst,0.027,0.03,TRUE,FALSE,NA
american shad,bt,0.014,0.021,TRUE,FALSE,NA
american shad,lat,0.257,0.168,FALSE,FALSE,NA
american shad,lon,0.418,0.265,FALSE,FALSE,NA
american shad,depth,0.119,0.059,FALSE,FALSE,NA
atlantic cod,sst,0.002,0.001,TRUE,FALSE,NA
atlantic cod,bt,0,0,TRUE,FALSE,NA
atlantic cod,lat,0.005,0.002,TRUE,FALSE,NA
atlantic cod,lon,0.227,0.182,FALSE,FALSE,NA
atlantic cod,depth,0.92,0.682,FALSE,FALSE,NA
atlantic hagfish,sst,0.014,0.033,TRUE,FALSE,NA
atlantic hagfish,bt,0.001,0.001,TRUE,FALSE,NA
atlantic hagfish,lat,0.731,0.446,FALSE,FALSE,NA
atlantic hagfish,lon,0.036,0.016,TRUE,FALSE,NA
atlantic hagfish,depth,0.917,0.985,FALSE,FALSE,NA
atlantic herring,sst,0.029,0.016,TRUE,FALSE,NA
atlantic herring,bt,0.029,0.016,TRUE,FALSE,NA
atlantic herring,lat,0.097,0.063,FALSE,FALSE,NA
atlantic herring,lon,0.013,0.012,TRUE,FALSE,NA
atlantic herring,depth,0.071,0.086,FALSE,FALSE,NA
atlantic mackerel,sst,0.51,0.445,FALSE,FALSE,NA
atlantic mackerel,bt,0.794,0.694,FALSE,FALSE,NA
atlantic mackerel,lat,0.001,0,TRUE,FALSE,NA
atlantic mackerel,lon,0.02,0.009,TRUE,FALSE,NA
atlantic mackerel,depth,0.785,0.706,FALSE,FALSE,NA
atlantic rock crab,sst,0.003,0.067,FALSE,TRUE,-
atlantic rock crab,bt,0.257,0.235,FALSE,FALSE,NA
atlantic rock crab,lat,0.943,0.59,FALSE,FALSE,NA
atlantic rock crab,lon,0.161,0.085,FALSE,FALSE,NA
atlantic rock crab,depth,0.336,0.613,FALSE,FALSE,NA
black sea bass,sst,0.085,0.064,FALSE,FALSE,NA
black sea bass,bt,0.759,0.583,FALSE,FALSE,NA
black sea bass,lat,0,0,TRUE,FALSE,NA
black sea bass,lon,0,0,TRUE,FALSE,NA
black sea bass,depth,0.466,0.255,FALSE,FALSE,NA
blackbelly rosefish,sst,0.01,0.004,TRUE,FALSE,NA
blackbelly rosefish,bt,0.043,0.026,TRUE,FALSE,NA
blackbelly rosefish,lat,0,0,TRUE,FALSE,NA
blackbelly rosefish,lon,0,0,TRUE,FALSE,NA
blackbelly rosefish,depth,0,0,TRUE,FALSE,NA
butterfish,sst,0.006,0.035,TRUE,FALSE,NA
butterfish,bt,0.033,0.038,TRUE,FALSE,NA
butterfish,lat,0.766,0.912,FALSE,FALSE,NA
butterfish,lon,0.893,0.652,FALSE,FALSE,NA
butterfish,depth,0.062,0.034,TRUE,TRUE,+
chain dogfish,sst,0.048,0.168,FALSE,TRUE,-
chain dogfish,bt,0.005,0.003,TRUE,FALSE,NA
chain dogfish,lat,0,0.001,TRUE,FALSE,NA
chain dogfish,lon,0,0.012,TRUE,FALSE,NA
chain dogfish,depth,0.015,0.008,TRUE,FALSE,NA
cusk,sst,0.004,0.001,TRUE,FALSE,NA
cusk,bt,0,0,TRUE,FALSE,NA
cusk,lat,0.033,0.024,TRUE,FALSE,NA
cusk,lon,0.007,0.002,TRUE,FALSE,NA
cusk,depth,0.4,0.246,FALSE,FALSE,NA
fawn cusk-eel,sst,0.005,0.032,TRUE,FALSE,NA
fawn cusk-eel,bt,0,0,TRUE,FALSE,NA
fawn cusk-eel,lat,0.181,0.675,FALSE,FALSE,NA
