comname,bart_sst_p,welch_sst_p,bart_bt_p,welch_bt_p,bart_depth_p,welch_depth_p,bart_lat_p,welch_lat_p,bart_lon_p,welch_lon_p
acadian redfish,0.28384668087560955,0.004667206727506425,0.039113121894210505,2.1448984598351925e-5,0.06511931465925665,0.3387093404895001,0.784158653038053,0.44823789697420724,0.8318077259425698,0.5685409211870345
alewife,0.3287272971036933,0.03328772801192983,0.021889623097919017,0.2403474925952359,0.030215371467343946,6.329966657790272e-7,0.0754277737000711,6.89832031081099e-6,0.12355688972105477,0.0016381474121714712
american lobster,0.5156853929041127,0.801766971224154,0.0161700312188874,0.05025490778381585,0.0015597859435111476,0.09105589533655305,1.6760995823170824e-4,9.108251127786073e-10,1.9996581721349333e-4,2.806922938288666e-8
american plaice,0.13903490589076742,0.002831150789755249,0.777273229019267,0.008542635258292816,0.24868441634936164,0.007987648091129918,0.7684008711896619,0.011849065588738874,0.25048841007952893,0.018367952554743657
american shad,0.24606614481968658,0.06309885686202751,0.02745202317667815,0.02864898914475533,0.14730669636296947,0.08341526599645331,0.3922192216207284,0.07325986217010201,0.24111892021316475,0.5260548638307657
atlantic cod,0.025203881445848533,0.004724429812268742,0.3941874382726733,3.3761168376835516e-5,0.38595392238796644,0.858478686144188,0.1936510279989966,0.012440958286000064,0.24710413393582278,0.2946080262308591
atlantic hagfish,0.5225894528871703,0.031591498434268415,0.13887534431622717,0.00212744204395336,0.06073503450402361,0.8135761979050058,0.5093244802485001,0.8038461737934969,0.33395761701829524,0.07346559781011056
atlantic herring,0.1928040918991672,0.06322645902746742,0.06643275882032708,0.05143047318043296,0.47762549152409095,0.10847431647336872,0.07189052691052278,0.05708874387157861,0.2882630293301863,0.007572787693960829
atlantic mackerel,0.5212298537935156,0.26081056985727075,0.060604369110367845,0.8605676314815169,0.8170724351316563,0.9751934966310527,0.4342657710822642,7.510634763765384e-4,0.5376674367973256,0.01227339492049301
atlantic rock crab,0.12286396423613317,0.005713686653409387,0.5866413777474381,0.24559144814435194,0.42095847548422277,0.46897587837906674,0.019978725129064557,0.7392869274187688,0.0050836173709003655,0.04823868607540581
black sea bass,0.5523459048323486,0.12329498716827134,0.024737389449462476,0.7571040079378042,0.7078868280754035,0.6582734369016496,0.391938333832327,4.8041106880023455e-6,0.8984972948280892,7.233930698898711e-5
blackbelly rosefish,0.07031897664176745,0.017311297038592584,0.022074519341382753,0.08112088853166516,2.6002465599612773e-4,6.831204781682369e-6,0.004801723944516295,5.922269899587783e-6,0.008807266612249516,1.738297292179912e-6
butterfish,0.27459105467786177,0.011183380257805239,0.35287736676195586,0.009384379531594584,0.7482080732652994,0.12642472155955684,0.07995328306632599,0.9380956083313059,0.36322790115643233,0.7562373415989525
chain dogfish,0.395752641403869,0.07358984273284454,0.1486352313701243,0.007351117343990164,0.03407758903601228,0.019794965801436915,0.02893469732482643,8.976781484080953e-4,0.13231259699948236,0.001101494637656438
cusk,0.1196928197564115,0.009964320200922364,0.8108209543935654,3.956099537325788e-4,0.9846929051916228,0.15155589369260913,0.7244249810873296,0.06389876635147375,0.3551687595625747,0.005626822772391057
fawn cusk-eel,0.70722214869984,0.012537579273092984,0.08541849856357912,2.4898945937606575e-4,0.17084748336482047,1.2292074311436662e-5,0.03724994350160111,0.203591278568259,0.17927701002497543,0.7128486214020069
fourbeard rockling,0.826019023793751,0.006476768810784986,0.6103631425013462,0.0019638257675075946,0.33555271129250974,0.0016481689875754153,0.037383739510611726,0.00285607279418062,0.023175970331136414,7.553668929492364e-4
fourspot flounder,0.17707167589320402,0.00673018341490666,0.06560428550774623,0.0012580650434782278,0.13464209551999606,2.1760606600279853e-9,0.30542667997921114,0.5799323728272775,0.7750517267189079,0.06136509954149842
goosefish,0.3995587852431198,0.004725455589603513,0.0601946236861935,6.432621359709214e-7,0.08047195339223057,0.007154893778827058,0.1377852071365599,0.3528466008530128,0.4067956217271728,0.212386288194199
gulf stream flounder,0.6885139065124994,6.953072876808451e-4,0.5694075146484856,0.048164308921850925,0.40863442154181884,0.0019254184221312275,0.1384554950330814,0.34203102657772166,0.00624650693435746,0.002874564751670767
haddock,0.20876823318657015,0.0030848774781013426,0.3312482606593615,3.091726764564757e-6,0.6386220179737478,0.47793964074818884,0.2134131304017516,0.06204350283865106,0.6370874355303864,0.06380873423669395
jonah crab,0.24358750277640528,0.4194203034162929,0.4704395901744405,0.2850320756362549,0.27532078514731306,0.098628113566098,0.08792380314679689,0.018105928978001416,0.24108342423098064,0.42049530962389237
little skate,0.920412723971275,7.569694074592245e-4,0.3320611132767745,0.011759097828615794,0.0022241870790721437,0.14323668187489694,0.295068498459778,1.7813401357339977e-4,0.2390164789727954,0.0029811217352750255
longfin squid,0.018950548311986726,0.037986964204694426,0.08786433505710096,8.946974551820057e-4,0.3792232978110484,8.066263937185738e-4,0.07477663959904579,0.7983552541165011,0.5075113006237141,0.565206004871337
longhorn sculpin,0.036274421700055674,0.013374837921522888,0.13339675786154576,1.3844816261649774e-4,0.34645953326931866,0.2955363524718718,0.8870168562810915,1.637496544029444e-5,0.891726362157112,0.3511014679534318
northern sand lance,0.8480650128254187,0.021377298429775485,0.2593363387390045,0.7679609662424922,5.27363427429566e-10,0.0708460770173619,0.611941877854201,0.9405907461305536,0.3986310592544613,0.8406293246492214
northern searobin,0.7421915148023116,0.2812628826416265,0.06003590092538707,0.5553493463589634,0.6930669326492962,0.547845404521424,0.08780659321683108,7.396814528823883e-5,0.3837719012228327,0.03955933489763306
northern shortfin squid,0.9225711295295489,0.007289820295439575,0.04590779183517737,0.001236297521901608,0.7486674761935949,0.009909775150933912,0.39714554645583244,0.07518025754387557,0.7899173932964524,0.42979884125772583
ocean pout,0.20428673216384124,0.004871159599444297,0.3183244627582326,6.93380085268654e-4,0.014108455616266996,0.012359270426511389,0.12684043254697958,0.30226804797770523,0.8536491351804997,0.0965412127341724
offshore hake,0.41424616832679395,0.016271304078084928,0.5145277416546679,4.1047607895074287e-4,0.24103807750569983,0.7152199917828945,0.33375378645896137,0.003296252935902009,0.028682129462967047,7.329350203504428e-5
pollock,0.17933487193899555,0.008220896639887783,0.976010212552711,0.010801691720810445,0.023550078947070455,0.3733424790670134,0.06077289400002155,3.348209350583227e-4,0.2301735606536177,0.5128144284421927
red hake,0.009692237683612428,0.019464401742807683,0.47687315656081186,0.004902796630084104,0.01383779392110414,1.8603943202973526e-8,0.3271075577353815,0.13729438628108687,0.11462842471817111,1.9612123468700632e-4
rosette skate,0.393157519141191,0.34411520985221455,0.007553439537035828,0.08069979982095922,0.2604497739307934,0.02676956063854085,0.2225275837108885,0.06152320957956243,0.35008555034088573,0.007507738270819542
scup,0.547734777155965,0.7096490565882084,0.030459091598200594,0.8799707902929186,0.579708789420767,0.330692249075394,0.5503540517406307,0.01169900781712016,0.8734487994406915,0.0033695867524383117
sea raven,0.01924733228333637,0.02125984883746473,0.7074119927745769,5.358770442667094e-4,0.9867250577357999,0.0015158712293909164,0.7405940600338018,0.004894780449684243,0.31453825185112905,0.005616256975551548
sea scallop,0.03182029523897255,0.24934366410960312,0.33736368140840295,0.15094071190138547,0.2526036211771874,0.44415064033575236,0.07689895675669453,0.06045336200328383,0.5860381981730939,0.03974199781300124
silver hake,0.7747984331653784,0.0666495559292633,0.20185766076357384,0.070361037560887435,0.05560259399684952,0.016007766961353167,0.07294037206610458,5.2208953454388066e-5,0.07456824232162036,4.897286724292167e-4
smooth dogfish,0.8230582790872206,0.9689641305813834,0.10583091272390636,0.5481870624339337,0.7763676444901908,0.08066941299407918,0.4559720651443697,0.010774410576275876,0.5347516626659883,0.004896497813601975
smooth skate,0.10818833007632421,0.014994161564836418,0.3516845215082859,4.715352654940149e-7,0.9050262391817574,0.0058195573042563705,0.18647284147539306,0.04960596436541241,0.08998977744635354,0.05141054984248817
spiny dogfish,0.674893158246803,0.003922317485685971,0.0855078425375746,0.003294772304461236,0.10635842797294895,0.0032460897981083764,0.1652814285924639,0.3074343024772361,0.361235287535748,0.6600120000468505
spotted hake,0.2057072155642012,0.15293639590552496,0.08033161428557985,0.07654992674667084,0.6967822555731623,0.003682241911350073,0.8997756722910394,0.19153033354235294,0.6428094867215323,0.008108117258086054
summer flounder,0.45861683194942987,0.03815650629268588,0.005609601056500557,0.01318289438963726,0.9302664013743558,0.00245562232204716,0.025369545787961224,4.164266571215422e-5,0.031885045540084096,0.003968745059877126
