comname,variable,1970-2009,2010-2019,difference,direction
american lobster,sst,10.14,10.042,-0.098,colder
american lobster,bt,9.277,8.821,-0.456,colder
american lobster,depth,132.859,140.413,7.554,deeper
american lobster,lat,41.455,42.729,1.274,northward
american lobster,lon,-69.302,-68.133,1.169,eastward
american shad,sst,9.464,10.826,1.362,warmer
american shad,bt,8.573,9.201,0.628,warmer
american shad,depth,120.793,132.57,11.777,deeper
american shad,lat,41.584,42.011,0.427,northward
american shad,lon,-69.781,-69.599,0.182,eastward
atlantic hagfish,sst,9.946,11.103,1.157,warmer
atlantic hagfish,bt,6.989,8.032,1.043,warmer
atlantic hagfish,depth,196.846,199.005,2.159,deeper
atlantic hagfish,lat,41.901,41.973,0.072,northward
atlantic hagfish,lon,-69.792,-69.271,0.521,eastward
atlantic herring,sst,8.861,9.751,0.89,warmer
atlantic herring,bt,6.583,7.488,0.905,warmer
atlantic herring,depth,94.356,106.707,12.351,deeper
atlantic herring,lat,41.53,41.797,0.267,northward
atlantic herring,lon,-70.064,-69.49,0.574,eastward
atlantic rock crab,sst,12.686,14.02,1.334,warmer
atlantic rock crab,bt,9.319,9.817,0.498,warmer
atlantic rock crab,depth,89.018,98.077,9.059,deeper
atlantic rock crab,lat,39.513,39.596,0.083,northward
atlantic rock crab,lon,-71.987,-71.359,0.628,eastward
blackbelly rosefish,sst,12.55,11.302,-1.248,colder
blackbelly rosefish,bt,8.978,9.438,0.46,warmer
blackbelly rosefish,depth,274.203,256.129,-18.074,shallower
blackbelly rosefish,lat,40.216,41.453,1.237,northward
blackbelly rosefish,lon,-69.871,-67.864,2.007,eastward
butterfish,sst,13.46,14.661,1.201,warmer
butterfish,bt,11.586,12.525,0.939,warmer
butterfish,depth,102.687,111.257,8.57,shallower
butterfish,lat,39.138,39.108,-0.03,southward
butterfish,lon,-72.048,-71.917,0.131,eastward
cusk,sst,8.368,9.966,1.598,warmer
cusk,bt,7.265,8.519,1.254,warmer
cusk,depth,189.232,197.743,8.511,deeper
cusk,lat,42.648,42.466,-0.182,southward
cusk,lon,-67.999,-67.462,0.537,eastward
