comname,bart_sst_p,welch_sst_p,bart_bt_p,welch_bt_p,bart_depth_p,welch_depth_p,bart_lat_p,welch_lat_p,bart_lon_p,welch_lon_p
acadian redfish,0.371,0.001,0.018,0,0.032,0.292,0.777,0.618,0.985,0.609
alewife,0.233,0.014,0.019,0.372,0.112,0,0.104,0,0.124,0.003
american lobster,0.366,0.793,0.006,0.037,0.001,0.125,0,0,0,0
american plaice,0.199,0.001,0.92,0.005,0.246,0.003,0.808,0.006,0.18,0.007
american shad,0.184,0.027,0.016,0.014,0.125,0.119,0.798,0.257,0.159,0.418
atlantic cod,0.039,0.002,0.279,0,0.268,0.92,0.121,0.005,0.338,0.227
atlantic hagfish,0.393,0.014,0.089,0.001,0.034,0.917,0.366,0.731,0.251,0.036
atlantic herring,0.072,0.029,0.099,0.029,0.62,0.071,0.068,0.097,0.32,0.013
atlantic mackerel,0.723,0.51,0.031,0.794,0.735,0.785,0.26,0.001,0.409,0.02
atlantic rock crab,0.217,0.003,0.456,0.257,0.324,0.336,0.029,0.943,0.015,0.161
black sea bass,0.397,0.085,0.011,0.759,0.756,0.466,0.264,0,0.727,0
blackbelly rosefish,0.035,0.01,0.015,0.043,0.001,0,0.002,0,0.004,0
butterfish,0.539,0.006,0.588,0.033,0.714,0.062,0.094,0.766,0.423,0.893
chain dogfish,0.267,0.048,0.093,0.005,0.016,0.015,0.013,0,0.081,0
cusk,0.173,0.004,0.54,0,0.552,0.4,0.881,0.033,0.289,0.007
fawn cusk-eel,0.854,0.005,0.074,0,0.988,0,0.017,0.181,0.125,0.561
fourbeard rockling,0.739,0.002,0.62,0.002,0.276,0,0.047,0.008,0.013,0.001
fourspot flounder,0.219,0.002,0.04,0,0.111,0,0.408,0.497,0.863,0.028
goosefish,0.524,0.002,0.032,0,0.041,0.003,0.086,0.255,0.487,0.107
gulf stream flounder,0.858,0,0.427,0.036,0.312,0.001,0.079,0.324,0.002,0.002
haddock,0.291,0.001,0.235,0,0.771,0.513,0.192,0.082,0.773,0.028
jonah crab,0.327,0.327,0.329,0.253,0.174,0.074,0.046,0.009,0.168,0.304
little skate,0.961,0,0.446,0.005,0.001,0.215,0.203,0,0.596,0.002
longfin squid,0.03,0.021,0.07,0.001,0.276,0,0.106,0.846,0.61,0.427
longhorn sculpin,0.05,0.005,0.076,0,0.428,0.311,0.98,0,0.989,0.191
northern sand lance,0.983,0.008,0.229,0.523,0,0.057,0.764,0.992,0.384,0.923
northern searobin,0.587,0.28,0.038,0.673,0.856,0.462,0.211,0,0.435,0.017
northern shortfin squid,0.922,0.002,0.022,0.001,0.622,0.007,0.276,0.042,0.967,0.363
ocean pout,0.192,0.002,0.218,0,0.015,0.01,0.115,0.169,0.781,0.114
offshore hake,0.537,0.008,0.519,0,0.235,0.486,0.266,0.002,0.026,0
pollock,0.252,0.003,0.886,0.004,0.029,0.425,0.036,0,0.285,0.374
red hake,0.015,0.008,0.369,0.003,0.006,0,0.269,0.072,0.064,0
rosette skate,0.265,0.29,0.003,0.074,0.163,0.016,0.177,0.029,0.274,0.002
scup,0.699,0.651,0.014,0.942,0.669,0.213,0.669,0.004,0.952,0.001
sea raven,0.029,0.012,0.595,0,0.869,0.001,0.786,0.006,0.26,0.002
sea scallop,0.032,0.14,0.344,0.241,0.168,0.478,0.039,0.04,0.466,0.017
silver hake,0.841,0.03,0.126,0.058,0.054,0.029,0.037,0,0.075,0.001
smooth dogfish,0.65,0.978,0.151,0.318,0.667,0.039,0.316,0.004,0.618,0.003
smooth skate,0.091,0.005,0.261,0,0.962,0.007,0.141,0.058,0.099,0.1
spiny dogfish,0.78,0.001,0.122,0.001,0.397,0.036,0.167,0.178,0.402,0.479
spotted hake,0.269,0.138,0.042,0.048,0.756,0.002,0.935,0.093,0.847,0.003
summer flounder,0.319,0.02,0.002,0.011,0.899,0.001,0.011,0,0.015,0.002
thorny skate,0.049,0.001,0.585,0.001,0.166,0.175,0.264,0.035,0.068,0.674
white hake,0.06,0.006,0.393,0,0.185,0.427,0.794,0.008,0.41,0.024
windowpane,0.724,0,0.604,0.002,0.077,0.032,0.352,0.001,0.429,0
winter flounder,0.083,0.019,0.952,0.002,0.551,0.004,0.417,0.006,0.783,0.087
winter skate,0.248,0.001,0.171,0,0.282,0.03,0.551,0,0.035,0.086
witch flounder,0.438,0,0.885,0,0.065,0,0.05,0.032,0.842,0.77
yellowtail flounder,0.391,0.013,0.599,0.026,0.247,0.271,0.882,0.001,0.001,0.96
