comname,variable,revised,original,significant,significant_change,1970-2009,2010-2019,difference,direction
atlantic rock crab,sst,0.003,0.067,FALSE,TRUE,12.686,14.232,1.546,warmer
butterfish,depth,0.062,0.034,TRUE,TRUE,102.687,112.708,10.021,deeper
chain dogfish,sst,0.048,0.168,FALSE,TRUE,14.946,16.349,1.403,warmer
gulf stream flounder,bt,0.036,0.067,FALSE,TRUE,9.622,10.357,0.735,warmer
gulf stream flounder,lon,0.002,0.383,FALSE,TRUE,-70.799,-71.211,-0.412,westward
jonah crab,depth,0.074,0.036,TRUE,TRUE,152.949,169.749,16.8,deeper
northern sand lance,depth,0.057,0.026,TRUE,TRUE,42.5,63.927,21.427,deeper
northern shortfin squid,lat,0.042,0.205,FALSE,TRUE,39.318,38.856,-0.462,southward
offshore hake,sst,0.008,0.139,FALSE,TRUE,14.335,16.686,2.351,warmer
offshore hake,lon,0,0.07,FALSE,TRUE,-71.548,-72.695,-1.147,westward
red hake,lat,0.072,0.034,TRUE,TRUE,41.517,41.78,0.263,northward
smooth skate,lat,0.058,0.043,TRUE,TRUE,42.592,42.722,0.13,northward
spotted hake,lat,0.093,0.05,TRUE,TRUE,37.885,38.183,0.298,northward
summer flounder,sst,0.02,0.12,FALSE,TRUE,12.483,13.226,0.743,warmer
summer flounder,bt,0.011,0.08,FALSE,TRUE,12.39,12.874,0.484,warmer
thorny skate,lat,0.035,0.073,FALSE,TRUE,42.627,42.506,-0.121,southward
windowpane,depth,0.032,0.149,FALSE,TRUE,56.085,52.393,-3.692,shallower
