"","comname","season","num_obs"
"1","acadian redfish","Spring",50
"2","acadian redfish","Fall",50
"3","alewife","Spring",50
"4","alewife","Fall",50
"5","alligatorfish","Spring",48
"6","alligatorfish","Fall",50
"7","american lobster","Spring",48
"8","american lobster","Fall",47
"9","american plaice","Spring",50
"10","american plaice","Fall",50
"11","american shad","Spring",50
"12","american shad","Fall",50
"13","atlantic cod","Spring",50
"14","atlantic cod","Fall",50
"15","atlantic hagfish","Spring",49
"16","atlantic hagfish","Fall",50
"17","atlantic halibut","Spring",50
"18","atlantic halibut","Fall",47
"19","atlantic herring","Spring",50
"20","atlantic herring","Fall",50
"21","atlantic mackerel","Spring",50
"22","atlantic mackerel","Fall",50
"23","atlantic rock crab","Spring",50
"24","atlantic rock crab","Fall",50
"25","atlantic wolffish","Spring",50
"26","atlantic wolffish","Fall",49
"27","black sea bass","Spring",50
"28","black sea bass","Fall",50
"29","blackbelly rosefish","Spring",50
"30","blackbelly rosefish","Fall",50
"31","blueback herring","Spring",50
"32","blueback herring","Fall",48
"33","bluefish","Fall",49
"34","bluefish","Spring",39
"35","butterfish","Spring",50
"36","butterfish","Fall",50
"37","clearnose skate","Fall",48
"38","clearnose skate","Spring",47
"39","cunner","Spring",50
"40","cunner","Fall",50
"41","cusk","Spring",50
"42","cusk","Fall",50
"43","fawn cusk-eel","Spring",50
"44","fawn cusk-eel","Fall",50
"45","fourbeard rockling","Spring",50
"46","fourbeard rockling","Fall",50
"47","fourspot flounder","Spring",50
"48","fourspot flounder","Fall",50
"49","goosefish","Spring",50
"50","goosefish","Fall",50
"51","gulf stream flounder","Spring",50
"52","gulf stream flounder","Fall",50
"53","haddock","Spring",50
"54","haddock","Fall",50
"55","little skate","Spring",50
"56","little skate","Fall",50
"57","longfin hake","Spring",50
"58","longfin hake","Fall",49
"59","longfin squid","Spring",50
"60","longfin squid","Fall",50
"61","longhorn sculpin","Spring",50
"62","longhorn sculpin","Fall",50
"63","northern sand lance","Spring",50
"64","northern sand lance","Fall",49
"65","northern searobin","Spring",50
"66","northern searobin","Fall",50
"67","northern shortfin squid","Spring",50
"68","northern shortfin squid","Fall",50
"69","ocean pout","Spring",50
"70","ocean pout","Fall",50
"71","offshore hake","Spring",50
"72","offshore hake","Fall",50
"73","pollock","Spring",50
"74","pollock","Fall",50
"75","red hake","Spring",50
"76","red hake","Fall",50
"77","rosette skate","Fall",50
"78","rosette skate","Spring",49
"79","scup","Spring",50
"80","scup","Fall",50
"81","sea raven","Spring",50
"82","sea raven","Fall",50
"83","sea scallop","Spring",50
"84","sea scallop","Fall",50
"85","silver hake","Spring",50
"86","silver hake","Fall",50
"87","smooth dogfish","Spring",49
"88","smooth dogfish","Fall",49
"89","smooth skate","Spring",50
"90","smooth skate","Fall",50
"91","spiny dogfish","Spring",50
"92","spiny dogfish","Fall",50
"93","spotted hake","Spring",50
"94","spotted hake","Fall",50
"95","summer flounder","Spring",50
"96","summer flounder","Fall",50
"97","thorny skate","Spring",50
"98","thorny skate","Fall",50
"99","white hake","Spring",50
"100","white hake","Fall",50
"101","windowpane","Spring",50
"102","windowpane","Fall",50
"103","winter flounder","Spring",50
"104","winter flounder","Fall",50
"105","winter skate","Spring",50
"106","winter skate","Fall",50
"107","witch flounder","Spring",50
"108","witch flounder","Fall",50
"109","yellowtail flounder","Spring",50
"110","yellowtail flounder","Fall",50
